City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Berlevag,NO,2022-11-23 22:27:41,70.8578,29.0864,23.0,68,0,9.22
206,Mount Isa,AU,2022-11-23 22:27:41,-20.7333,139.5,80.37,26,46,12.66
207,Aykhal,RU,2022-11-23 22:27:42,66.0,111.5,-12.69,99,100,6.35
208,Nyrob,RU,2022-11-23 22:27:42,60.733,56.7202,0.05,94,6,3.83
209,Pandan,PH,2022-11-23 22:27:43,14.0453,124.1694,80.11,85,46,9.78
210,Beringovskiy,RU,2022-11-23 22:27:43,63.05,179.3167,31.89,97,100,13.04
211,Quetta,PK,2022-11-23 22:27:44,30.199,67.0097,47.03,28,82,1.88
212,Iqaluit,CA,2022-11-23 22:24:43,63.7506,-68.5145,-5.31,83,20,15.01
213,Khatanga,RU,2022-11-23 22:27:45,71.9667,102.5,-41.21,100,68,0.76
214,Metro,ID,2022-11-23 22:27:45,-5.1131,105.3067,74.07,91,100,3.71
215,Kruisfontein,ZA,2022-11-23 22:27:46,-34.0033,24.7314,59.29,85,52,6.76
216,Marsh Harbour,BS,2022-11-23 22:27:46,26.5412,-77.0636,80.01,74,61,3.36
217,Cabo San Lucas,MX,2022-11-23 22:27:46,22.8909,-109.9124,81.52,51,20,9.22
218,Bereda,ES,2022-11-23 22:27:47,43.2686,-7.5406,51.42,90,93,5.37
219,Iskateley,RU,2022-11-23 22:27:47,67.6803,53.1512,21.74,96,100,6.29
220,Kandi,BJ,2022-11-23 22:27:48,11.1342,2.9386,74.91,18,33,5.59
221,Tingo Maria,PE,2022-11-23 22:27:48,-9.2895,-76.0088,75.51,95,67,0.51
222,Mugur-Aksy,RU,2022-11-23 22:27:49,50.35,90.5,-8.55,80,1,7.34
223,Walvis Bay,NA,2022-11-23 22:27:49,-22.9575,14.5053,63.55,67,1,6.91
224,Watrous,CA,2022-11-23 22:28:10,51.6668,-105.4679,31.78,74,100,11.5
225,Thinadhoo,MV,2022-11-23 22:28:50,0.5333,72.9333,80.94,77,89,14.5
226,Anloga,GH,2022-11-23 22:28:50,5.7947,0.8973,81.59,78,6,11.92
227,Ahipara,NZ,2022-11-23 22:28:51,-35.1667,173.1667,61.25,87,73,16.6
228,Red Deer,CA,2022-11-23 22:28:13,52.2668,-113.802,32.49,74,0,4.61
229,Pacific Grove,US,2022-11-23 22:28:51,36.6177,-121.9166,72.39,52,0,4.61
230,Meulaboh,ID,2022-11-23 22:28:52,4.1363,96.1285,74.66,87,59,3.24
231,Souillac,MU,2022-11-23 22:28:52,-20.5167,57.5167,73.78,88,40,6.91
232,Pouembout,NC,2022-11-23 22:28:53,-21.1333,164.9,86.05,58,11,3.94
233,Kavieng,PG,2022-11-23 22:28:53,-2.5744,150.7967,83.95,61,52,11.65
234,Asau,RO,2022-11-23 22:28:54,46.4333,26.4,33.28,95,100,3.13
235,Port Hawkesbury,CA,2022-11-23 22:28:54,45.6169,-61.3485,33.39,67,75,23.02
236,Namibe,AO,2022-11-23 22:28:54,-15.1961,12.1522,73.22,75,58,5.82
237,Bathsheba,BB,2022-11-23 22:28:55,13.2167,-59.5167,77.61,88,40,14.97
238,Havre-Saint-Pierre,CA,2022-11-23 22:28:55,50.2334,-63.5986,21.2,62,0,14.97
239,Dong Xoai,VN,2022-11-23 22:28:56,11.5333,106.9167,71.58,97,73,3.33
240,Shelburne,CA,2022-11-23 22:28:56,44.0787,-80.2041,36.36,85,81,3.38
241,Hasaki,JP,2022-11-23 22:28:57,35.7333,140.8333,54.0,68,34,23.51
242,Krasnoarmeysk,RU,2022-11-23 22:28:57,51.0239,45.6969,33.48,91,100,17.87
243,Santa Cruz De La Palma,ES,2022-11-23 22:28:57,28.6835,-17.7642,69.94,83,75,11.5
244,Zemio,CF,2022-11-23 22:28:58,5.0314,25.1361,69.4,87,68,3.18
245,Skjervoy,NO,2022-11-23 22:28:58,70.0311,20.9714,19.4,55,19,12.77
246,Victoria,HK,2022-11-23 22:24:50,22.2855,114.1577,73.96,92,100,17.0
