City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Severo-Kurilsk,RU,50.6789,156.125,37.74,98,100,8.75,light rain
323,Meulaboh,ID,4.1363,96.1285,81.16,78,98,4.41,overcast clouds
324,Muros,ES,42.7762,-9.0603,53.1,89,100,18.37,moderate rain
325,Leninskoye,KZ,41.7589,69.3864,46.22,83,100,5.46,overcast clouds
326,Portland,US,45.5234,-122.6762,45.43,87,100,13.0,overcast clouds
327,Bajil,YE,15.0584,43.2851,75.38,75,0,2.53,clear sky
328,Port Hardy,CA,50.6996,-127.4199,33.98,100,100,24.16,light snow
329,Vilyuysk,RU,63.7553,121.6247,-24.12,97,100,4.76,overcast clouds
330,Adwa,ET,14.1646,38.8955,57.51,51,2,3.98,clear sky
331,Fairview,US,40.8126,-73.999,42.21,68,75,5.75,broken clouds
332,Zhangye,CN,38.9342,100.4517,14.94,40,98,2.21,overcast clouds
333,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,94,75,8.37,broken clouds
334,Leningradskiy,RU,69.3833,178.4167,21.36,82,100,6.51,overcast clouds
335,Port Keats,AU,-14.25,129.55,95.86,37,58,4.7,broken clouds
336,Qorveh,IR,35.1664,47.8045,43.18,51,100,6.04,overcast clouds
337,Faanui,PF,-16.4833,-151.75,79.68,76,22,11.5,few clouds
338,Canto Do Buriti,BR,-8.11,-42.9444,69.8,98,100,2.73,overcast clouds
339,Sabha,LY,27.0377,14.4283,51.12,46,0,7.63,clear sky
340,De Pere,US,44.4489,-88.0604,39.02,84,100,20.71,overcast clouds
341,Aswan,EG,24.0934,32.907,61.9,41,0,0.0,clear sky
342,Qinhuangdao,CN,39.9317,119.5883,23.76,23,0,16.13,clear sky
343,Isiro,CD,2.7739,27.616,64.42,98,70,2.21,broken clouds
344,Ponta Delgada,PT,37.7333,-25.6667,63.5,94,75,4.61,broken clouds
345,Camalu,MX,30.85,-116.0667,56.39,75,0,4.76,clear sky
346,Along,IN,28.1667,94.7667,73.04,38,5,0.34,clear sky
